Module Name,Quizzes Included,Max Marks,Average Score,Highest Score,Lowest Score,Average Percentage,Highest Percentage,Lowest Percentage,Standard Deviation
Module 1: Python and Math for ML,"day1_module1_quiz1, day2_module1_quiz2, day3_module1_quiz3, day4_module1_quiz4, assessment_9, assessment_10, assessment_11, assessment_12, assessment_13, assessment_14, assessment_15, assessment_16, assessment_17, assessment_18, assessment_19, assessment_20",303,107.36,269.0,0.0,35.43,88.78,0.0,78.99
Module 2: Classical Machine Learning,day6_module2_quiz6,10,2.79,10.0,0.0,27.92,100.0,0.0,3.96
Module 3: Unsupervised & Ensemble Learning,"day7_module3_quiz7, day8_module3_quiz8",40,13.28,38.0,0.0,33.19,95.0,0.0,15.78
Module 4: Deep Learning & NLP,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Module 5: LLMs & Agentic AI,day5_module5_quiz5,16,6.19,15.0,0.0,38.72,93.75,0.0,6.19
